model,season,bin_lo,bin_hi,pred_mean,obs_rate,count
baseline,ALL,0.0,0.1,0.030694,0.043006,2209
baseline,ALL,0.1,0.2,,,0
baseline,ALL,0.2,0.3,,,0
baseline,ALL,0.3,0.4,0.372858,0.378590,3058792
baseline,ALL,0.4,0.5,0.404068,0.404973,876121
baseline,ALL,0.5,0.6,0.589389,0.603515,1362689
baseline,ALL,0.6,0.7,0.606002,0.656534,434025
baseline,ALL,0.7,0.8,,,0
baseline,ALL,0.8,0.9,,,0
baseline,ALL,0.9,1.0,,,0
baseline,1997-98,0.0,0.1,0.023529,0.000000,94
baseline,1997-98,0.1,0.2,,,0
baseline,1997-98,0.2,0.3,,,0
baseline,1997-98,0.3,0.4,0.370932,0.357895,57514
baseline,1997-98,0.4,0.5,0.417203,0.390475,68560
baseline,1997-98,0.5,0.6,0.547552,0.602250,63120
baseline,1997-98,0.6,0.7,,,0
baseline,1997-98,0.7,0.8,,,0
baseline,1997-98,0.8,0.9,,,0
baseline,1997-98,0.9,1.0,,,0
baseline,1998-99,0.0,0.1,0.011173,0.026667,75
baseline,1998-99,0.1,0.2,,,0
baseline,1998-99,0.2,0.3,,,0
baseline,1998-99,0.3,0.4,0.372950,0.353156,48514
baseline,1998-99,0.4,0.5,0.406160,0.389965,29518
baseline,1998-99,0.5,0.6,0.573375,0.595208,35102
baseline,1998-99,0.6,0.7,,,0
baseline,1998-99,0.7,0.8,,,0
baseline,1998-99,0.8,0.9,,,0
baseline,1998-99,0.9,1.0,,,0
baseline,1999-00,0.0,0.1,0.015748,0.048000,125
baseline,1999-00,0.1,0.2,,,0
baseline,1999-00,0.2,0.3,,,0
baseline,1999-00,0.3,0.4,0.371413,0.368715,93316
baseline,1999-00,0.4,0.5,0.403049,0.407846,43107
baseline,1999-00,0.5,0.6,0.577916,0.609123,58425
baseline,1999-00,0.6,0.7,,,0
baseline,1999-00,0.7,0.8,,,0
baseline,1999-00,0.8,0.9,,,0
baseline,1999-00,0.9,1.0,,,0
baseline,2000-01,0.0,0.1,0.026385,0.043103,116
baseline,2000-01,0.1,0.2,,,0
baseline,2000-01,0.2,0.3,,,0
baseline,2000-01,0.3,0.4,0.370796,0.367440,90480
